 32 Kernels	Regular AWT	Reorder AWT	Regular AT	Reorder AWT	Average Gain	Overhead	Regular ANTT	Reorder ANTT	Regular STP	Reorder STP
  4 to 32 Blocks	749,243	539,823	1088,234	881,652	206,582	6,315	0,275	0,237	163,048	447,754
  4 to 64 Blocks	1405,195	992,432	1767,128	1362,210	404,917	2,720	0,421	0,329	87,606	132,886
  4 to 128 Blocks	3662,108	2291,395	4169,410	2799,360	1370,049	0,501	0,593	0,519	116,356	103,321
  4 to 256 Blocks	6606,320	4094,935	7290,044	4786,348	2503,696	0,437	0,766	0,629	42,987	60,561
  4 to 512 Blocks	13894,105	9278,286	15044,738	10431,422	4613,315	0,212	0,892	0,803	35,935	41,547

 64 Kernels	Regular AWT	Reorder AWT	Regular AT	Reorder AWT	Average Gain	Overhead	Regular ANTT	Reorder ANTT	Regular STP	Reorder STP
  4 to 32 Blocks	1699,623	954,330	2023,722	1279,681	744,041	2,113	0,259	0,171	391,402	616,354
  4 to 64 Blocks	3374,662	1853,076	3748,977	2235,002	1513,974	1,021	0,418	0,252	160,626	380,799
  4 to 128 Blocks	6992,074	4286,429	7478,608	4773,692	2704,916	0,561	0,648	0,434	100,184	183,315
  4 to 256 Blocks	13752,322	8708,668	14487,558	9455,391	5032,168	0,292	0,753	0,582	86,749	134,060
  4 to 512 Blocks	22462,772	15560,476	23500,103	16603,183	6896,920	0,251	0,874	0,761	73,508	146,205

128 Kernels	Regular AWT	Reorder AWT	Regular AT	Reorder AWT	Average Gain	Overhead	Regular ANTT	Reorder ANTT	Regular STP	Reorder STP
  4 to 32 Blocks	3563,705	2043,609	3894,955	2383,461	1511,493	2,182	0,236	0,144	604,798	1742,905
  4 to 64 Blocks	7357,095	4061,227	7749,108	4463,618	3285,490	1,083	0,422	0,225	319,080	867,644
  4 to 128 Blocks	14747,379	8154,441	15257,416	8674,399	6583,018	0,573	0,612	0,357	211,235	552,372
  4 to 256 Blocks	27216,351	15603,821	27908,195	16308,948	11599,247	0,322	0,759	0,548	169,365	277,712
  4 to 512 Blocks	52771,515	34489,019	53921,287	35649,233	18272,053	0,205	0,875	0,720	146,563	195,441

256 Kernels	Regular AWT	Reorder AWT	Regular AT	Reorder AWT	Average Gain	Overhead	Regular ANTT	Reorder ANTT	Regular STP	Reorder STP
  4 to 32 Blocks	7679,428	4405,926	8014,371	4750,709	3263,662	2,531	0,238	0,130	1129,067	3376,365
  4 to 64 Blocks	14706,511	8158,843	15091,319	8559,348	6531,971	1,343	0,407	0,209	641,056	1926,010
  4 to 128 Blocks	28246,591	15558,183	28746,686	16077,323	12669,363	0,816	0,584	0,338	441,508	1045,093
  4 to 256 Blocks	55811,102	32588,278	56529,757	33319,878	23209,879	0,398	0,755	0,514	339,498	600,741
  4 to 512 Blocks	107796,527	67281,063	108929,221	68426,871	40502,350	0,257	0,873	0,718	293,325	381,108

